"experiment_id","workload_type","concurrent_users","test_date","git_commit","vm_cpu","vm_ram_gb","duration_seconds","spawn_rate","total_requests","successful_requests","failed_requests","failure_rate_percent","requests_per_second","average_latency_ms","median_latency_ms","p95_latency_ms","p99_latency_ms","cpu_average_percent","cpu_peak_percent","memory_average_mb","memory_peak_mb","disk_used_gb","network_received_mb","network_transmitted_mb","container_restarts","validation_status","evidence_reference","notes"
"scalability_10","scalability","10","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING",""
"scalability_50","scalability","50","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING",""
"scalability_100","scalability","100","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING",""
"scalability_200","scalability","200","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING",""
