scenario,concurrent_users,request_count,failure_count,failure_rate_pct,average_response_ms,median_response_ms,p95_response_ms,p99_response_ms,requests_per_second,source_file
10 users,10,465,0,0.0,26.72,16.0,71.0,290.0,7.94,locust_10_users_stats.csv
50 users,50,4557,0,0.0,19.48,10.0,59.0,230.0,38.35,locust_50_users_stats.csv
100 users,100,13695,0,0.0,39.27,15.0,130.0,450.0,76.46,locust_100_users_stats.csv
200 users initial,200,1488,357,23.9919,33132.66,29000.0,90000.0,91000.0,5.23,locust_200_users_stats.csv
200 users optimized,200,43814,0,0.0,29.27,13.0,110.0,240.0,146.77,locust_200_users_fixed_stats.csv
